No,Date en,Date,チーム,Opp,対戦相手,W/L,得点,失点,イニング,ゲーム差,勝投手,負投手,セーブ,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点,,GAME,Name,OPP,SCORE,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
56,"Tuesday, May 28?(1)",5月28日,LAD,New York Mets@NYMW,メッツ,W,5,2,10,up 5.5,Hudson,L?pez,Treinen,2:42,,+,36,10,3,0,2,3,,5月28日,Ohtani,NYMNYM,W,5,0,0,0,0,0,0,0,2,0,0,2指,空振,一ゴ,一ゴ,遊ゴ,空振,,
57,"Tuesday, May 28?(2)",5月28日,LAD,New York Mets@NYMW,,W,3,0,,up 5.5,Stone,Quintana,Vesia,2:18,"36,021",++,41,11,1,0,1,5,,5月28日,Ohtani,,,,,,,,,,,,,,,,,,,,,
58,"Wednesday, May 29",5月29日,LAD,New York Mets@NYMW,メッツ,W,10,3,,up 6.5,Treinen,Ottavino,,3:20,"23,890",+++,41,16,3,1,4,10,,5月29日,Ohtani,NYMNYM,W,5,2,0,0,1,3,0,0,1,0,0,2指,左飛,二ゴ,中安,空振,左本,,
59,"Friday, May 31",5月31日,LAD,Colorado RockiesCOLL,ロッキーズ,L,1,4,,up 5.5,Hudson,Buehler,Beeks,2:20,"47,542",-,31,5,1,0,0,0,,5月31日,Ohtani,COLCOL,L,3,0,0,0,0,0,1,0,1,0,0,2指,二ゴ,二直,空振,四球,,,
60,"Saturday, Jun 1",6月1日,LAD,Colorado RockiesCOLW,ロッキーズ,W,4,1,,up 5.5,Yamamoto,Quantrill,Phillips,2:41,"50,182",+,33,11,2,1,0,3,,6月1日,Ohtani,COLCOL,W,3,1,0,0,0,0,1,0,1,1,1,2指,左飛,四球,空振,中安,,,
61,"Sunday, Jun 2",6月2日,LAD,Colorado RockiesCOLW,ロッキーズ,W,4,0,,up 6.5,Stone,Gomber,,2:29,"48,251",++,31,8,0,0,2,4,,6月2日,Ohtani,COLCOL,W,3,0,0,0,0,0,1,0,2,0,0,2指,遊飛,三振,空振,打妨,敬遠,,
62,"Tuesday, Jun 4",6月4日,LAD,Pittsburgh Pirates@PITL,パイレーツ,L,0,1,,up 7.0,Jones,Glasnow,Bednar,2:21,"24,168",-,31,5,3,0,0,0,,6月4日,Ohtani,PITPIT,L,4,1,0,0,0,0,0,0,2,0,0,2指,空振,遊併,空振,中安,,,
63,"Wednesday, Jun 5",6月5日,LAD,Pittsburgh Pirates@PITL,パイレーツ,L,6,10,,up 7.0,Skenes,Paxton,,2:45,"29,716",--,39,11,3,0,2,5,,6月5日,Ohtani,PITPIT,L,5,2,0,0,1,2,0,0,2,0,0,2指,空振,中本,右安,空振,右飛,,
64,"Thursday, Jun 6",6月6日,LAD,Pittsburgh Pirates@PITW,パイレーツ,W,11,7,,up 8.0,Grove,Falter,,3:08,"22,752",+,39,14,4,0,3,10,,6月6日,Ohtani,PITPIT,W,6,1,0,0,0,0,0,0,3,0,0,2指,右安,空振,空振,ニゴ,空振,一ゴ,
65,"Friday, Jun 7",6月7日,LAD,New York Yankees@NYYW,ヤンキース,W,2,1,11,up 8.0,Grove,Hamilton,Ram?rez,3:21,"48,048",++,36,4,2,0,0,2,,6月7日,Ohtani,NYYNYY,W,5,0,0,0,0,0,0,0,0,0,0,2指,二ゴ,中直,一ゴ,左飛,一ゴ,,
66,"Saturday, Jun 8",6月8日,LAD,New York Yankees@NYYW,ヤンキース,W,11,3,,up 8.0,Stone,Cort?s,,3:17,"48,374",+++,36,11,2,0,3,11,,6月8日,Ohtani,NYYNYY,W,4,1,0,0,0,1,1,0,1,0,0,2指,空振,左安,三飛,二失,四球,,
67,"Sunday, Jun 9",6月9日,LAD,New York Yankees@NYYL,ヤンキース,L,4,6,,up 8.0,Ferguson,Glasnow,Holmes,2:44,"48,023",-,34,9,4,0,1,4,,6月9日,Ohtani,NYYNYY,L,4,1,1,0,0,0,0,0,0,0,0,2指,中飛,右直,左飛,左2,,,
68,"Tuesday, Jun 11",6月11日,LAD,Texas RangersTEXW,レンジャーズ,W,15,2,,up 7.5,Paxton,Dunning,,2:40,"51,416",+,35,14,1,0,5,15,,6月11日,Ohtani,TEXTEX,W,2,1,0,0,1,2,2,1,1,1,0,2指,四球,四球,空振,右本,死球,,
69,"Wednesday, Jun 12",6月12日,LAD,Texas RangersTEXL,レンジャーズ,L,2,3,,up 6.5,Latz,Buehler,Yates,2:51,"48,930",-,31,7,1,0,1,2,,6月12日,Ohtani,TEXTEX,L,4,1,0,0,1,1,0,0,1,0,0,2指,右本,右直,中飛,空振,,,
70,"Thursday, Jun 13",6月13日,LAD,Texas RangersTEXL,レンジャーズ,L,1,3,,up 6.0,Lorenzen,Grove,Yates,2:31,"50,134",--,31,5,0,0,1,1,,6月13日,Ohtani,TEXTEX,L,4,0,0,0,0,0,0,0,1,0,0,2指,二ゴ,左直,二ゴ,空振,,,
71,"Friday, Jun 14",6月14日,LAD,Kansas City RoyalsKCW,ロイヤルズ,W,4,3,,up 7.0,Hudson,Smith,Vesia,2:01,"49,580",+,30,8,0,0,2,4,,6月14日,Ohtani,KCRKCR,W,4,2,0,0,0,0,0,0,0,0,0,2指,遊ゴ,右安,中安,遊飛,,,
72,"Saturday, Jun 15",6月15日,LAD,Kansas City RoyalsKCL,ロイヤルズ,L,2,7,,up 7.0,Lugo,Treinen,,2:32,"50,423",-,32,6,2,0,0,2,,6月15日,Ohtani,KCRKCR,L,3,0,0,0,0,0,1,0,0,0,0,2指,二併,ニゴ,一ゴ,四球,,,
73,"Sunday, Jun 16",6月16日,LAD,Kansas City RoyalsKCW,ロイヤルズ,W,3,0,,up 8.0,Glasnow,Singer,Phillips,2:05,"52,789",+,28,5,0,0,3,3,,6月16日,Ohtani,KCRKCR,W,3,2,0,0,2,2,1,0,0,0,0,2指,四球,中本,右本,中飛,,,
74,"Monday, Jun 17",6月17日,LAD,Colorado Rockies@COLW,ロッキーズ,W,9,5,,up 8.5,Paxton,Quantrill,,2:44,"32,021",++,39,14,5,1,0,9,,6月17日,Ohtani,COLCOL,W,5,3,2,0,0,1,1,0,0,1,0,1指,遊ゴ,右安,中2,左2,四球,ニゴ,
75,"Tuesday, Jun 18",6月18日,LAD,Colorado Rockies@COLW,ロッキーズ,W,11,9,,up 9.0,Petersen,Vodnik,Phillips,2:55,"33,791",+++,34,9,1,1,4,11,,6月18日,Ohtani,COLCOL,W,5,2,0,0,1,2,0,0,0,0,0,1指,ニゴ,一ゴ,中本,中直,左安,,
76,"Wednesday, Jun 19",6月19日,LAD,Colorado Rockies@COLL,ロッキーズ,L-wo,6,7,,up 9.0,Beeks,Ram?rez,,2:30,"37,503",-,37,10,4,0,0,6,,6月19日,Ohtani,COLCOL,L,5,2,1,0,0,3,0,0,1,0,0,1指,三邪,中2,三ゴ,右安,三振,,
77,"Thursday, Jun 20",6月20日,LAD,Colorado Rockies@COLW,ロッキーズ,W,5,3,,up 9.0,Stone,Blach,Phillips,2:34,"40,236",+,38,12,2,0,3,5,,6月20日,Ohtani,COLCOL,W,3,1,0,0,1,1,2,0,1,0,0,1指,中本,四球,空振,中飛,敬遠,,
78,"Friday, Jun 21",6月21日,LAD,Los Angeles AngelsLAAL,エンゼルス,L,2,3,10,up 8.0,Garc?a,Banda,Est?vez,2:40,"51,841",-,33,5,0,0,1,2,,6月21日,Ohtani,LAALAA,L,2,2,0,0,1,2,2,0,0,0,1,1指,四球,四球,中本,投安,,,
79,"Saturday, Jun 22",6月22日,LAD,Los Angeles AngelsLAAW,エンゼルス,W,7,2,,up 8.0,Glasnow,Plesac,,2:10,"53,273",+,32,9,3,0,2,7,,6月22日,Ohtani,LAALAA,W,4,1,0,0,1,2,1,0,0,0,0,1指,右直,右本,四球,ニゴ,ニゴ,,
80,"Monday, Jun 24",6月24日,LAD,Chicago White Sox@CWSW,ホワイトソックス,W,3,0,,up 8.5,Hudson,Wilson,Vesia,2:28,"25,070",++,34,9,2,0,0,2,,6月24日,Ohtani,CWSCWS,W,3,0,0,0,0,1,1,0,2,0,0,1指,空振,遊ゴ,三振,四球,中犠,,
81,"Tuesday, Jun 25",6月25日,LAD,Chicago White Sox@CWSW,ホワイトソックス,W,4,3,,up 8.5,Petersen,Flexen,Phillips,2:49,"23,662",+++,34,7,1,0,2,4,,6月25日,Ohtani,CWSCWS,W,4,2,0,0,1,2,1,0,2,0,0,1指,右本,四球,右安,空振,空振,,
82,"Wednesday, Jun 26",6月26日,LAD,Chicago White Sox@CWSW,ホワイトソックス,W,4,0,,up 8.5,Stone,Fedde,,2:02,"36,225",++++,32,6,2,0,1,4,,6月26日,Ohtani,CWSCWS,W,2,1,0,0,1,1,2,0,0,0,0,1指,右本,四球,三邪,四球,,,
83,"Friday, Jun 28",6月28日,LAD,San Francisco Giants@SFL,ジャイアンツ,L-wo,3,5,,up 7.5,Doval,Treinen,,2:15,"40,052",-,31,7,1,1,0,3,,6月28日,Ohtani,SFGSFG,L,3,1,0,0,0,0,1,0,1,0,0,1指,三振,遊ゴ,敬遠,一安,,,
84,"Saturday, Jun 29",6月29日,LAD,San Francisco Giants@SFW,ジャイアンツ,W,14,7,11,up 7.5,Hudson,Hjelle,,3:45,"39,663",+,47,16,4,1,1,14,,6月29日,Ohtani,SFGSFG,W,4,1,0,0,1,1,2,0,2,0,0,1指,空振,中本,四球,左飛,空振,敬遠,
