試合数,日付,対戦相手,W/L,得点,失点,ゲーム差,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点
24,4月21日,メッツ,W,10,0,up 1.0,2:18,49287,+,32,9,4,0,2,10
25,4月23日,ナショナルズ,W,4,1,up 1.5,3:10,27806,++,35,9,2,0,1,4
26,4月24日,ナショナルズ,W,11,2,up 1.5,2:40,26298,+++,46,20,8,0,1,11
27,4月25日,ナショナルズ,W,2,1,up 2.5,2:36,24185,++++,32,9,2,0,1,2
28,4月26日,ブルージェイズ,W,12,2,up 3.5,2:39,39688,+++++,43,19,2,0,3,11
29,4月27日,ブルージェイズ,W,4,2,up 4.5,2:49,39405,++++++,37,11,2,1,0,4
30,4月28日,ブルージェイズ,L,1,3,up 3.5,2:20,39053,-,33,6,4,0,1,1
31,4月29日,ダイヤモンドバックス,W,8,4,up 4.0,2:50,36985,+,34,10,4,0,1,8
32,4月30日,ダイヤモンドバックス,L,3,4,up 4.0,2:47,28667,-,33,5,2,0,0,1
33,5月1日,ダイヤモンドバックス,W,8,0,up 4.5,2:49,34088,+,35,10,2,0,2,8
34,5月3日,ブレーブス,W,4,3,up 4.5,3:00,50859,++,37,9,1,0,1,4
35,5月4日,ブレーブス,W,11,2,up 4.5,2:24,44474,+++,39,16,0,1,5,11
36,5月5日,ブレーブス,W,5,1,up 5.5,2:07,52733,++++,29,5,0,0,3,5
37,5月6日,マーリンズ,W,6,3,up 5.5,2:19,44970,+++++,32,9,0,0,4,6
38,5月7日,マーリンズ,W,8,2,up 6.5,2:11,51496,++++++,27,5,1,0,2,7
39,5月8日,マーリンズ,W,3,1,up 6.5,1:55,40702,+++++++,28,6,1,0,1,3
40,5月10日,パドレス,L,1,2,up 5.5,2:12,43388,-,30,4,1,0,0,1
41,5月11日,パドレス,W,5,0,up 6.5,2:36,46701,+,32,5,1,0,2,5
42,5月12日,パドレス,L,0,4,up 5.5,2:35,43881,-,32,4,1,0,0,0
43,5月13日,ジャイアンツ,W,6,4,up 6.5,2:55,35033,+,40,11,3,0,2,6
44,5月14日,ジャイアンツ,W,10,2,up 7.5,2:36,33575,++,39,13,5,3,1,10
45,5月15日,ジャイアンツ,L,1,4,up 7.5,2:23,36027,-,33,7,0,0,0,1
46,5月16日,レッズ,L,2,7,up 7.0,2:49,53527,--,31,4,0,0,0,2
47,5月17日,レッズ,W,7,3,up 7.0,2:19,46832,+,32,9,0,0,3,6
48,5月18日,レッズ,W,4,0,up 7.5,2:07,49239,++,30,6,2,0,0,4
49,5月19日,レッズ,W,3,2,up 7.5,2:54,52656,+++,33,7,0,0,1,3
50,5月20日,ダイヤモンドバックス,W,6,4,up 8.0,2:39,37634,++++,31,8,0,0,3,6
51,5月21日,ダイヤモンドバックス,L,3,7,up 8.0,2:30,46180,-,33,6,3,1,0,2
52,5月22日,ダイヤモンドバックス,L,0,6,up 7.0,2:40,46593,--,32,6,2,0,0,0
53,5月24日,レッズ,L,6,9,up 6.5,2:56,40074,---,38,11,4,0,2,6
