試合数,日付,対戦相手,W/L,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
17,4月13日,パドレス,W,2,0,0,0,0,1,2,0,0,1,0,2指,四球,四球,三邪,中犠,右飛,該当なし,該当なし
20,4月16日,ナショナルズ,W,5,2,0,0,0,0,0,0,0,0,0,2指,左安,二ゴ,二ゴ,中飛,三安,該当なし,該当なし
24,4月21日,メッツ,W,3,2,0,0,1,2,1,0,1,0,0,2指,空振,右本,投安,四球,該当なし,該当なし,該当なし
25,4月23日,ナショナルズ,W,4,1,0,0,1,1,1,0,0,0,0,2指,二ゴ,中直,中飛,四球,右本,該当なし,該当なし
26,4月24日,ナショナルズ,W,6,3,3,0,0,2,0,0,1,0,0,2指,中2,一併,空振,中飛,右2,中2,該当なし
27,4月25日,ナショナルズ,W,4,0,0,0,0,0,0,0,2,0,0,2指,空振,空振,二併,三直,該当なし,該当なし,該当なし
28,4月26日,ブルージェイズ,W,4,1,0,0,1,1,1,0,0,0,0,2指,右本,四球,一ゴ,投ゴ,二ゴ,該当なし,該当なし
29,4月27日,ブルージェイズ,W,5,1,0,0,0,1,0,0,1,0,0,2指,二ゴ,右安,空振,二失,左飛,該当なし,該当なし
31,4月29日,ダイヤモンドバックス,W,4,2,0,0,0,1,1,0,0,0,0,2指,中安,二併,四球,遊ゴ,左安,該当なし,該当なし
33,5月1日,ダイヤモンドバックス,W,0,0,0,0,0,0,0,0,0,0,0,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし
35,5月4日,ブレーブス,W,5,3,0,0,1,2,0,0,1,0,0,2指,空振,右本,左安,左飛,中安,該当なし,該当なし
36,5月5日,ブレーブス,W,4,4,0,0,2,3,0,0,0,0,0,2指,中本,左安,中安,中本,該当なし,該当なし,該当なし
37,5月6日,マーリンズ,W,3,2,0,0,1,2,1,0,1,2,0,2指,中本,見振,右安,四球,該当なし,該当なし,該当なし
38,5月7日,マーリンズ,W,2,0,0,0,0,0,2,0,0,0,0,2指,四球,四球,右直,左飛,該当なし,該当なし,該当なし
